tt1139328,The Ghost Writer,César Award for Best Director
tt1139328,The Ghost Writer,Silver Bear for Best Director
tt1139328,The Ghost Writer,National Society of Film Critics Award for Best Supporting Actress
tt1139328,The Ghost Writer,Polish Academy Award for Best European Film
tt1139328,The Ghost Writer,European Film Award for Best Film
tt1139328,The Ghost Writer,César Award for Best Adaptation
tt1139328,The Ghost Writer,European Film Award for Best Actor
tt1139328,The Ghost Writer,European Film Award for Best Composer
tt1139328,The Ghost Writer,European Film Award for Best Director
tt1139328,The Ghost Writer,European Film Award for Best Production Designer
tt1139328,The Ghost Writer,European Film Award for Best Screenwriter
tt2125435,Beasts of the Southern Wild,Grand prix du Festival de Deauville
tt2125435,Beasts of the Southern Wild,Sundance Film Festival U.S. Dramatic Grand Jury Prize Award
tt2125435,Beasts of the Southern Wild,NAACP Image Award for Outstanding Independent Motion Picture
tt2125435,Beasts of the Southern Wild,Caméra d'Or
tt2125435,Beasts of the Southern Wild,Broadcast Film Critics Association Award for Best Young Performer
tt2125435,Beasts of the Southern Wild,Independent Spirit Award for Best Cinematography
tt2125435,Beasts of the Southern Wild,National Board of Review: Top Ten Films
tt0044079,Strangers on a Train,National Board of Review: Top Ten Films
tt0072890,Dog Day Afternoon,"Academy Award for Best Writing, Original Screenplay"
tt0072890,Dog Day Afternoon,National Board of Review: Top Ten Films
tt0102975,Star Trek VI: The Undiscovered Country,Saturn Award for Best Science Fiction Film
tt0388795,Brokeback Mountain,Academy Award for Best Director
tt0388795,Brokeback Mountain,"Academy Award for Best Writing, Adapted Screenplay"
tt0388795,Brokeback Mountain,BAFTA Award for Best Film
tt0388795,Brokeback Mountain,National Board of Review: Top Ten Films
tt0388795,Brokeback Mountain,Dallas-Fort Worth Film Critics Association Award for Best Film
tt0088247,The Terminator,Saturn Award for Best Science Fiction Film
tt0388795,Brokeback Mountain,Golden Lion
tt0388795,Brokeback Mountain,Academy Award for Best Original Score
tt0167261,The Lord of the Rings: The Two Towers,Academy Award for Best Visual Effects
tt0167261,The Lord of the Rings: The Two Towers,Academy Award for Best Sound Editing
tt0310793,Bowling for Columbine,Academy Award for Best Documentary Feature Film
tt0310793,Bowling for Columbine,César Award for Best Foreign Film
tt0167261,The Lord of the Rings: The Two Towers,"Hugo Award for Best Dramatic Presentation, Long Form"
tt0110632,Natural Born Killers,Grand Jury Prize of the Venice Film Festival
tt0049833,The Ten Commandments,Academy Award for Best Special Effects
tt1007029,The Iron Lady,Academy Award for Best Actress
tt1007029,The Iron Lady,Academy Award for Best Makeup and Hairstyling
tt0065377,Airport,Academy Award for Best Supporting Actress
tt0042832,Panic in the Streets,National Board of Review: Top Ten Films
tt0092965,Empire of the Sun,National Board of Review Award for Best Film
tt0758758,Into the Wild,National Board of Review: Top Ten Films
tt0092965,Empire of the Sun,National Board of Review: Top Ten Films
tt0090329,Witness,National Board of Review: Top Ten Films
tt0062765,Bullitt,Academy Award for Best Film Editing
tt0042832,Panic in the Streets,Academy Award for Best Story
tt0090329,Witness,"Academy Award for Best Writing, Original Screenplay"
tt0090329,Witness,Academy Award for Best Film Editing
tt1232776,Fish Tank,Jury Prize
tt1232776,Fish Tank,Motovun Film Festival
tt1232776,Fish Tank,BAFTA Award for Best British Film
tt0080684,Star Wars: Episode V – The Empire Strikes Back,Academy Award for Best Sound
tt0455590,The Last King of Scotland,Academy Award for Best Actor
tt0056592,To Kill a Mockingbird,Academy Award for Best Actor
tt0080684,Star Wars: Episode V – The Empire Strikes Back,Saturn Award for Best Science Fiction Film
tt0080684,Star Wars: Episode V – The Empire Strikes Back,Hugo Award for Best Dramatic Presentation
tt0056592,To Kill a Mockingbird,"Academy Award for Best Writing, Adapted Screenplay"
tt0056592,To Kill a Mockingbird,"Academy Award for Best Art Direction, Black and White"
tt1399683,Winter's Bone,National Board of Review: Top Ten Films
tt1399683,Winter's Bone,Sundance Film Festival U.S. Dramatic Grand Jury Prize Award
tt1399683,Winter's Bone,Waldo Salt Screenwriting Award
tt1315981,A Single Man,Queer Lion
tt1315981,A Single Man,Dorian Award for Film of the Year
tt1315981,A Single Man,Dorian Award for LGBTQ Film of the Year
tt0055499,Through a Glass Darkly,Academy Award for Best International Feature Film
tt0318411,The Magdalene Sisters,Golden Lion
tt0114863,Ulysses' Gaze,Cannes Film Festival Grand Prix by
tt0114863,Ulysses' Gaze,European Film Academy Critics Award
tt0037558,Brief Encounter,National Board of Review: Top Ten Films
tt0035664,Bataan,National Board of Review: Top Ten Films
tt0036868,The Best Years of Our Lives,Academy Award for Best Picture
tt0036868,The Best Years of Our Lives,Academy Award for Best Director
tt0036868,The Best Years of Our Lives,Academy Award for Best Actor
tt0036868,The Best Years of Our Lives,Academy Award for Best Supporting Actor
tt0387131,The Constant Gardener,Academy Award for Best Supporting Actress
tt0036868,The Best Years of Our Lives,"Academy Award for Best Writing, Adapted Screenplay"
tt0036868,The Best Years of Our Lives,BAFTA Award for Best Film
tt0036868,The Best Years of Our Lives,Academy Award for Best Film Editing
tt0036868,The Best Years of Our Lives,National Board of Review: Top Ten Films
tt0036868,The Best Years of Our Lives,Academy Award for Best Original Dramatic or Comedy Score
tt1024715,Choke,Sundance Special Jury Prize for Ensemble Cast
tt0062794,Charly,Academy Award for Best Actor
tt0062794,Charly,Golden Globe Award for Best Screenplay
tt0062794,Charly,National Board of Review Award for Best Actor
tt0062794,Charly,National Board of Review: Top Ten Films
tt1175491,W.,Sundance Honorable Mention Short Filmmaking
tt0072431,Young Frankenstein,Saturn Award for Best Make-up
tt0072431,Young Frankenstein,Hugo Award for Best Dramatic Presentation
tt0072431,Young Frankenstein,Saturn Award for Best Horror Film
tt0072431,Young Frankenstein,Nebula Award for Best Script
tt0072431,Young Frankenstein,Saturn Award for Best Supporting Actor
tt0072431,Young Frankenstein,Saturn Award for Best Director
tt0404032,The Exorcism of Emily Rose,MTV Movie Award for Best Scared-As-S**t Performance
tt0112740,Crimson Tide,NAACP Image Award for Outstanding Actor in a Motion Picture
tt0104797,Malcolm X,National Board of Review: Top Ten Films
tt0058946,The Battle of Algiers,Golden Lion
tt0385752,The Golden Compass,Academy Award for Best Visual Effects
tt0780504,Drive,National Board of Review: Top Ten Films
tt0780504,Drive,Amanda Award for Best Foreign Feature Film
tt0061802,I Was Nineteen,National Prize of East Germany
tt0061802,I Was Nineteen,Heinrich Greif Prize
tt1235166,A Prophet,César Award for Best Director
tt1235166,A Prophet,César Award for Best Male Revelation
tt1235166,A Prophet,César Award for Best Cinematography
tt1235166,A Prophet,Cannes Film Festival Grand Prix by
tt1235166,A Prophet,César Award for Best Production Design
tt1235166,A Prophet,César Award for Best Supporting Actor
tt1235166,A Prophet,César Award for Best Original Screenplay
tt1235166,A Prophet,César Award for Best Film
tt1235166,A Prophet,Louis Delluc Prize
tt1235166,A Prophet,César Award for Best Editing
tt1235166,A Prophet,César Award for Best Actor
tt1235166,A Prophet,European Film Award for Best Actor
tt1235166,A Prophet,National Board of Review Award for Best Foreign Language Film
tt1235166,A Prophet,BAFTA Award for Best Film Not in the English Language
tt1235166,A Prophet,BIFA Award for Best Foreign Independent Film
tt1235166,A Prophet,European Film Academy Prix d'Excellence
tt1235166,A Prophet,International Cinephile Society Award for Best Film
tt1235166,A Prophet,International Cinephile Society Award for Best Director
tt1235166,A Prophet,International Cinephile Society Award for Best Supporting Actor
tt0067328,The Last Picture Show,Academy Award for Best Supporting Actor
